Course Code,Course Name,Affiliation,Faculty,Telegram Group Name,Status,Telegram Link,Creator,Bot Set Up
,Business Administration,NUS,Mega Groups,NUS - Business Administration,Pending Creation,,,
,Arts and Social Sciences,NUS,Mega Groups,NUS - Arts and Social Sciences,Pending Creation,,,
,Computing,NUS,Mega Groups,NUS - Computing,Pending Creation,,,
,Dentistry,NUS,Mega Groups,NUS - Dentistry,Pending Creation,,,
,Design and Engineering,NUS,Mega Groups,NUS - Design and Engineering,Pending Creation,,,
,Law,NUS,Mega Groups,NUS - Law,Pending Creation,,,
,Medicine,NUS,Mega Groups,NUS - Medicine,Pending Creation,,,
,Music,NUS,Mega Groups,NUS - Music,Pending Creation,,,
,NUS College,NUS,Mega Groups,NUS - NUS College,Pending Creation,,,
,Public Health,NUS,Mega Groups,NUS - Public Health,Pending Creation,,,
,Public Policy,NUS,Mega Groups,NUS - Public Policy,Pending Creation,,,
,Science,NUS,Mega Groups,NUS - Science,Pending Creation,,,
BSP1702,Legal Environment of Business,NUS,NUS Business School,NUS - BSP1702 Legal Environment of Business,Active,https://t.me/+P5f5Eyv5glZkM2Vl,Glastian,TRUE
BSP1703,Managerial Economics,NUS,NUS Business School,NUS - BSP1703 Managerial Economics,Active,https://t.me/+pEzMT-JDK79jNDM1,Glastian,TRUE
DAO1704,Decision Analytics using Spreadsheets,NUS,NUS Business School,NUS - DAO1704 Decision Analytics using Spreadsheets,Active,https://t.me/+enWuxEAIUOQyMjFl,Glastian,TRUE
ES2002,Business Communications,NUS,NUS Business School,NUS - ES2002 Business Communications,Active,https://t.me/+N2Q8XEZWKqtiOGRl,Glastian,TRUE
RE1707,Introduction to Real Estate,NUS,NUS Business School,NUS - RE1707 Introduction to Real Estate,Active,https://t.me/+LS_nvAUhmUplNWVl,Glastian,TRUE
MNO2707,Business Ethics,NUS,NUS Business School,NUS - MNO2707 Business Ethics,Active,https://t.me/+ta6BGn4H8UZlZGU1,Glastian,TRUE
ACC1701,Accounting for Decision Makers,NUS,NUS Business School,NUS - ACC1701 Accounting for Decision Makers,Active,https://t.me/+ipaSvWsOBeliNGU1,Glastian,TRUE
MKT1705,Principles of Marketing,NUS,NUS Business School,NUS - MKT1705 Principles of Marketing,Active,https://t.me/+2I-K916YWT4xNGRl,Glastian,TRUE
MNO1706,Organisational Behaviour,NUS,NUS Business School,NUS - MNO1706 Organisational Behaviour,Active,https://t.me/+MO9-ivuvkkpiNDhl,Glastian,TRUE
DAO2702,Programming for Business Analytics,NUS,NUS Business School,NUS - DAO2702 Programming for Business Analytics,Active,https://t.me/+HeOE4gMzEv0zYjk1,Glastian,TRUE
DAO2703,Operations & Technology Management,NUS,NUS Business School,NUS - DAO2703 Operations & Technology Management,Active,https://t.me/+lKiE7uUlBeU2ODFl,Glastian,TRUE
FIN2704,Finance,NUS,NUS Business School,NUS - FIN2704 Finance,Active,https://t.me/+06XF6_QyVjMzN2E1,Glastian,TRUE
DBA3702,Descriptive Analytics with R,NUS,NUS Business School,NUS - DBA3702 Descriptive Analytics with R,Active,https://t.me/+h22u6J8uwrM0YzM1,Glastian,TRUE
DBA3803,Predictive Analytics in Business,NUS,NUS Business School,NUS - DBA3803 Predictive Analytics in Business,Active,https://t.me/+19ssUYzRZM9hYmRl,Glastian,TRUE
IT3010,Data Management for Business Analytics,NUS,NUS Business School,NUS - IT3010 Data Management for Business Analytics,Active,https://t.me/+rU2DIVjrjtdhYjU1,Glastian,TRUE
MNO2705,Leadership and Decision Making under Uncertainty,NUS,NUS Business School,NUS - MNO2705 Leadership and Decision Making under Uncertainty,Active,https://t.me/+x7TdntjSHvFiZTM1,Glastian,TRUE
BSP4701,Strategic Management,NUS,NUS Business School,NUS - BSP4701 Strategic Management,Active,https://t.me/+u1ys_BGYtfk5YTI9,Glastian,TRUE
DBA3701,Introduction to Optimisation,NUS,NUS Business School,NUS - DBA3701 Introduction to Optimisation,Active,https://t.me/+jHwvHhjOLQAwMmE1,Glastian,TRUE
DBA3711,Stochastic Models in Management,NUS,NUS Business School,NUS - DBA3711 Stochastic Models in Management,Active,https://t.me/+31H3gWbmRFtlODA9,Glastian,TRUE
DBA3712,Dynamic Pricing & Revenue Management,NUS,NUS Business School,NUS - DBA3712 Dynamic Pricing & Revenue Management,Active,https://t.me/+KJqex9x6rGgxYTQ1,Glastian,TRUE
DBA3713,Analytics for Risk Management,NUS,NUS Business School,NUS - DBA3713 Analytics for Risk Management,Active,https://t.me/+xzjhuuL3YxAxNWVl,Glastian,TRUE
DBA3751,Independent Study in Business Analytics,NUS,NUS Business School,NUS - DBA3751 Independent Study in Business Analytics,Active,https://t.me/+uGDpZeormakzODBl,Glastian,TRUE
DBA3752,Independent Study in Business Analytics,NUS,NUS Business School,NUS - DBA3752 Independent Study in Business Analytics,Active,https://t.me/+yOp7ISN-_RI3YTA1,Glastian,TRUE
DBA3761,Topics in Business Analytics,NUS,NUS Business School,NUS - DBA3761 Topics in Business Analytics,Active,https://t.me/+8YWHr2It4eE5ZWNl,Glastian,TRUE
DBA4711,Applied Analytics,NUS,NUS Business School,NUS - DBA4711 Applied Analytics,Active,https://t.me/+wSOw6a7qJBpjMzBl,Glastian,TRUE
DBA4712,Causal Learning for Managerial Decision,NUS,NUS Business School,NUS - DBA4712 Causal Learning for Managerial Decision,Active,https://t.me/+3ZUpjEvz-es0Y2Y1,Glastian,TRUE
DBA4713,Network Analytics with Business Applications,NUS,NUS Business School,NUS - DBA4713 Network Analytics with Business Applications,Active,https://t.me/+QMxhx_kIPaBiZWZl,Glastian,TRUE
DBA4714,Deep Learning and Generative AI in Business,NUS,NUS Business School,NUS - DBA4714 Deep Learning and Generative AI in Business,Active,https://t.me/+9ryLsKbSgERjZTg1,Glastian,TRUE
DBA4751,Advanced Independent Study in Business Analytics,NUS,NUS Business School,NUS - DBA4751 Advanced Independent Study in Business Analytics,Active,https://t.me/+u73A7gjG7NszMjJl,Glastian,TRUE
DBA4752,Advanced Independent Study in Business Analytics,NUS,NUS Business School,NUS - DBA4752 Advanced Independent Study in Business Analytics,Active,https://t.me/+t0u9AXRZ4PFjZGY1,Glastian,TRUE
DBA4761,Seminars in Analytics,NUS,NUS Business School,NUS - DBA4761 Seminars in Analytics,Active,https://t.me/+l3KP-uGihFgyNjg1,Glastian,TRUE
DBA4811,Analytical Tools for Consulting,NUS,NUS Business School,NUS - DBA4811 Analytical Tools for Consulting,Active,https://t.me/+H3d702GaSIkwYmU9,Glastian,TRUE
DBA4812,Supply Chain Analytics,NUS,NUS Business School,NUS - DBA4812 Supply Chain Analytics,Active,https://t.me/+ubdv3ZOzVAxhYjU1,Glastian,TRUE
DBA4813,AI Strategies in Business,NUS,NUS Business School,NUS - DBA4813 AI Strategies in Business,Active,https://t.me/+epXaRRZaas1lY2Y1,Glastian,TRUE
DOS3811,Technology and Business Innovation,NUS,NUS Business School,NUS - DOS3811 Technology and Business Innovation,Active,https://t.me/+54FGmUkadno1ZTI1,Glastian,TRUE
DOS4811,Data Visualisation,NUS,NUS Business School,NUS - DOS4811 Data Visualisation,Active,https://t.me/+zsLqXxkjWmpmMzBl,Glastian,TRUE
